"FIPS","AllRace_Total","AllRace_Male","AllRace_Female","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_Male","W_Female","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_Male","B_Female","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_Male","I_Female","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_Male","A_Female","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_Male","H_Female","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_Male","O_Female","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female_50-","O_Female_50-65","O_Female_65+","AllRace_50-","AllRace_50-65","AllRace_65+","W_50-","W_50-65","W_65+","B_50-","B_50-65","B_65+","A_50-","A_50-65","A_65+","I_50-","I_50-65","I_65+","H_50-","H_50-65","H_65+","O_50-","O_50-65","O_65+","state"
"06039",156255,77881,78374,53490,13456,10935,53157,13193,12024,48399,23899,24500,11609,5667,6623,11601,5651,7248,4131,1987,2144,1100,577,310,1383,425,336,1738,811,927,540,175,96,593,171,163,3581,1710,1871,1107,327,276,1183,390,298,93178,46952,46226,37476,6222,3254,36621,6038,3567,5228,2522,2706,1658,488,376,1776,518,412,106980,26912,21870,23218,11334,13246,2200,1154,620,2214,654,552,1080,350,192,74952,12444,6508,3316,976,752,"06"
"06041",262321,128593,133728,73210,28620,26763,71458,29786,32484,173149,84428,88721,40145,21350,22933,39413,21816,27492,6120,3935,2185,2230,1179,526,1316,472,397,555,304,251,219,62,23,175,49,27,16175,6664,9511,4126,1403,1135,5401,2319,1791,49410,25322,24088,20430,3427,1465,18679,3543,1866,16912,7940,8972,6060,1199,681,6474,1587,911,146420,57240,53526,80290,42700,45866,4460,2358,1052,8252,2806,2270,438,124,46,40860,6854,2930,12120,2398,1362,"06"
"06043",17131,8609,8522,4240,2000,2369,3937,2154,2431,12838,6461,6377,2827,1598,2036,2614,1706,2057,105,70,35,46,17,7,20,4,11,410,202,208,104,56,42,102,67,39,287,152,135,72,43,37,64,37,34,2140,1058,1082,756,165,137,739,177,166,1351,666,685,435,121,110,398,163,124,8480,4000,4738,5654,3196,4072,92,34,14,144,86,74,208,112,84,1512,330,274,870,242,220,"06"
"06045",91601,45837,45764,27293,8608,9936,25558,8966,11240,56205,27997,28208,13633,6035,8329,12546,6272,9390,607,349,258,258,45,46,161,57,40,3528,1750,1778,1259,310,181,1179,344,255,1730,696,1034,451,152,93,567,259,208,23933,12363,11570,9868,1635,860,9254,1485,831,5598,2682,2916,1824,431,427,1851,549,516,54586,17216,19872,27266,12070,16658,516,90,92,902,304,186,2518,620,362,19736,3270,1720,3648,862,854,"06"
"06047",281202,140337,140865,102911,22141,15285,99974,22695,18196,68729,33831,34898,18861,7562,7408,18195,7784,8919,8191,4427,3764,2992,832,603,2444,729,591,1164,576,588,382,137,57,338,152,98,19824,9830,9994,7274,1521,1035,6887,1707,1400,173857,87164,86693,70038,11405,5721,68582,11477,6634,9437,4509,4928,3364,684,461,3528,846,554,205822,44282,30570,37722,15124,14816,5984,1664,1206,14548,3042,2070,764,274,114,140076,22810,11442,6728,1368,922,"06"
"06049",8700,4347,4353,2291,929,1127,2194,966,1193,6446,3127,3319,1505,670,952,1510,759,1050,66,50,16,37,3,10,12,0,4,387,213,174,111,59,43,113,30,31,61,28,33,7,11,10,16,4,13,1259,663,596,458,121,84,389,144,63,481,266,215,173,65,28,154,29,32,4582,1858,2254,3010,1340,1904,74,6,20,14,22,20,222,118,86,916,242,168,346,130,56,"06"
"06051",13195,7048,6147,4451,1468,1129,3839,1309,999,8679,4688,3991,2571,1136,981,2170,978,843,68,40,28,32,5,3,21,6,1,177,87,90,57,23,7,47,27,16,159,61,98,37,15,9,52,35,11,3507,1832,1675,1485,241,106,1336,233,106,605,340,265,269,48,23,213,30,22,8902,2936,2258,5142,2272,1962,64,10,6,74,30,18,114,46,14,2970,482,212,538,96,46,"06"
"06053",439035,221123,217912,156277,36370,28476,146620,37352,33940,120077,59345,60732,29192,13378,16775,27043,14094,19595,9051,5739,3312,3633,1426,680,1898,804,610,1314,643,671,371,178,94,397,161,113,25123,11417,13706,6750,2576,2091,7176,3245,3285,265321,135025,130296,109667,17397,7961,103730,17361,9205,18149,8954,9195,6664,1415,875,6376,1687,1132,312554,72740,56952,58384,26756,33550,7266,2852,1360,13500,5152,4182,742,356,188,219334,34794,15922,13328,2830,1750,"06"
"06055",138019,67777,70242,41159,13535,13083,40088,14549,15605,68909,33331,35578,15230,7970,10131,14879,8714,11985,2300,1168,1132,722,257,189,666,284,182,507,300,207,173,74,53,122,35,50,10520,4805,5715,3107,999,699,3433,1236,1046,48829,24763,24066,19440,3650,1673,18473,3651,1942,6954,3410,3544,2487,585,338,2515,629,400,82318,27070,26166,30460,15940,20262,1444,514,378,6214,1998,1398,346,148,106,38880,7300,3346,4974,1170,676,"06"
"06057",102241,50424,51817,26500,10466,13458,24920,11796,15101,82810,40770,42040,19615,8882,12273,18450,9917,13673,416,247,169,137,77,33,103,37,29,695,362,333,247,75,40,164,101,68,1371,563,808,309,131,123,432,229,147,10416,5264,5152,3952,755,557,3671,863,618,6533,3218,3315,2240,546,432,2100,649,566,53000,20932,26916,39230,17764,24546,274,154,66,618,262,246,494,150,80,7904,1510,1114,4480,1092,864,"06"
"06059",3186989,1563452,1623537,1033236,307684,222532,1020095,324870,278572,1198655,594435,604220,319017,144099,131319,301577,142861,159782,49304,25691,23613,17474,5378,2839,15327,4927,3359,5298,2585,2713,1482,711,392,1522,660,531,699124,330013,369111,215830,65331,48852,229275,77720,62116,1086834,537060,549774,421732,81692,33636,416021,87682,46071,147774,73668,74106,57701,10473,5494,56373,11020,6713,2066472,615368,445064,638034,288198,262638,34948,10756,5678,431660,130662,97704,2964,1422,784,843464,163384,67272,115402,20946,10988,"06"
"06061",404739,196942,207797,121189,38707,37046,120227,41693,45877,272471,132682,139789,73286,28817,30579,71672,30541,37576,6440,3393,3047,2207,689,497,1941,623,483,2010,978,1032,622,216,140,606,227,199,34776,16259,18517,11251,2954,2054,12262,3408,2847,60628,29670,30958,23096,4003,2571,23006,4665,3287,28414,13960,14454,10727,2028,1205,10740,2229,1485,242378,77414,74092,146572,57634,61158,4414,1378,994,22502,5908,4108,1244,432,280,46192,8006,5142,21454,4056,2410,"06"
