"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"01",5024279,3116352,958372,778964,2426844,1558176,479186,389482,2597435,1586453,515741,495241,3171351,1836712,665538,599054,1550652,918356,332769,299527,1620699,908314,343002,369383,1288159,831296,220770,143800,597933,415648,110385,71900,690226,454714,133202,102310,23119,14698,4892,3130,11360,7349,2446,1565,11759,7373,2703,1683,75918,53914,11592,5556,35531,26957,5796,2778,40387,28934,7023,4430,264047,232822,26858,10820,135250,116411,13429,5410,128797,109977,12529,6291,201685,146910,28722,16604,96118,73455,14361,8302,105567,77141,17282,11144
"02",733391,524298,143376,95160,381417,262149,71688,47580,351974,237467,66902,47605,421758,278182,96724,71454,223180,139091,48362,35727,198578,122346,42774,33458,20731,17432,4346,1980,11879,8716,2173,990,8852,6162,1650,1040,108838,82682,17730,10040,55226,41341,8865,5020,53612,38629,9093,5890,43449,28504,7956,4112,20286,14252,3978,2056,23163,15145,4907,3111,49824,42680,6562,2624,25933,21340,3281,1312,23891,19335,3132,1424,88791,74818,10058,4950,44913,37409,5029,2475,43878,35850,5346,2682
"04",7151502,4572856,1266024,1235806,3537343,2286428,633012,617903,3614159,2216372,676518,721269,3816547,2000706,804202,974914,1889911,1000353,402101,487457,1926636,947822,422854,555960,317161,240904,54866,30144,162957,120452,27433,15072,154204,110203,26335,17666,263930,191484,39626,24208,127659,95742,19813,12104,136271,96447,23257,16567,248837,172958,36416,22256,115815,86479,18208,11128,133022,90861,24493,17668,2192253,1728092,288404,156400,1086448,864046,144202,78200,1105805,853206,155828,96771,312774,238712,42510,27884,154553,119356,21255,13942,158221,117833,23751,16637
"05",3011524,1922302,556328,474366,1476498,961151,278164,237183,1535026,950116,293226,291684,2063550,1214662,417440,396956,1014529,607331,208720,198478,1049021,592178,215379,241464,449884,305362,75200,46910,213736,152681,37600,23455,236148,160842,43940,31366,20549,13654,4276,2422,10176,6827,2138,1211,10373,6818,2227,1328,51210,38048,6902,3558,24254,19024,3451,1779,26956,19940,4380,2636,256847,224920,28780,10122,131911,112460,14390,5061,124936,105801,13490,5645,169484,125656,23730,14398,81892,62828,11865,7199,87592,64537,13810,9245
"06",39538223,26498450,7205364,5394192,19549003,13249225,3602682,2697096,19989220,12901907,3767245,3320068,13714587,7566642,3120278,3034054,6860487,3783321,1560139,1517027,6854100,3536372,1539301,1778427,2119286,1398938,433410,266158,1049253,699469,216705,133079,1070033,670686,224734,174613,156085,100710,33074,21888,77836,50355,16537,10944,78249,48101,17212,12936,5978795,3801574,1060450,803810,2832917,1900787,530225,401905,3145878,1973613,636821,535444,15579652,12102402,2282358,1110506,7747633,6051201,1141179,555253,7832019,5916143,1196295,719581,1989818,1528184,275794,157776,980877,764092,137897,78888,1008941,756992,152882,99067
"08",5773714,3958380,1039934,801188,2899751,1979190,519967,400594,2873963,1870685,535177,468101,3760663,2359702,761800,656344,1888923,1179851,380900,328172,1871740,1102896,389277,379567,221310,171760,42002,21622,117692,85880,21001,10811,103618,73424,18078,12116,33768,24180,6086,3502,16884,12090,3043,1751,16884,11447,3433,2004,195220,135958,27942,15734,89817,67979,13971,7867,105403,75147,18142,12114,1263390,1027654,163220,83730,637302,513827,81610,41865,626088,490943,84685,50460,299363,239126,38884,20256,149133,119563,19442,10128,150230,116828,21562,11840
"09",3605944,2181764,747744,570198,1749853,1090882,373872,285099,1856091,1091784,402341,361966,2279232,1198410,548252,473386,1110024,599205,274126,236693,1169208,586248,287398,295562,360937,241996,65442,35194,171316,120998,32721,17597,189621,125039,38722,25860,6404,4194,1318,812,3162,2097,659,406,3242,2048,692,502,170459,122830,26626,13464,81460,61415,13313,6732,88999,65772,14894,8333,623293,487724,82790,36716,303615,243862,41395,18358,319678,247298,47221,25159,165619,126610,23316,10626,80276,63305,11658,5313,85343,65379,13414,6550
"10",989948,587738,191482,174218,476719,293869,95741,87109,513229,298183,107578,107468,579851,294674,128558,137788,280510,147337,64279,68894,299341,145795,70818,82728,212960,137276,38498,23382,99578,68638,19249,11691,113382,73740,23123,16519,2521,1352,648,506,1253,676,324,253,1268,681,333,254,42398,30816,6200,3974,20495,15408,3100,1987,21903,15661,3684,2558,104290,87136,11670,5148,51977,43568,5835,2574,52313,43143,6048,3122,47928,36484,5908,3420,22906,18242,2954,1710,25022,19163,3572,2287
"11",689545,473542,99312,72700,322777,236771,49656,36350,366768,263806,52536,50426,261771,194808,33980,27828,128308,97404,16990,13914,133463,103811,14415,15237,282066,167002,50264,37326,127296,83501,25132,18663,154770,95819,29721,29230,1277,842,162,170,587,421,81,85,690,454,140,96,33192,23276,2528,1542,13673,11638,1264,771,19519,16378,1791,1350,77652,62440,8828,3912,37590,31220,4414,1956,40062,32779,4359,2924,33587,25174,3550,1922,15323,12587,1775,961,18264,14565,2110,1589
"12",21538187,12579788,4219406,4129274,10464234,6289894,2109703,2064637,11073953,6275594,2294970,2503389,11100503,5377752,2478886,3037364,5447001,2688876,1239443,1518682,5653502,2608346,1296243,1748913,3127052,2128566,526430,332018,1493507,1064283,263215,166009,1633545,1104708,304197,224640,42169,24414,10520,7122,21028,12207,5260,3561,21141,11942,5370,3829,629626,398408,105172,74072,288826,199204,52586,37036,340800,220039,69117,51644,5697240,3971434,960616,594978,2763514,1985717,480308,297489,2933726,1976894,536417,420415,941597,679214,137782,83720,450358,339607,68891,41860,491239,353665,83626,53948
