"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+","state"
"01001",327,44,116,167,174,18,63,93,153,26,53,74,256,31,88,137,133,12,46,75,123,19,42,62,59,10,25,24,35,4,16,15,24,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,9,10,1,1,8,1,0,0,1,"01"
"01003",1384,135,376,873,745,48,196,501,639,87,180,372,1255,117,330,808,674,41,170,463,581,75,161,345,87,13,32,42,44,5,17,22,42,8,14,20,5,0,2,3,4,0,2,2,1,0,0,1,6,2,3,1,2,0,2,0,4,2,1,1,11,3,3,5,5,1,2,2,7,2,1,3,20,1,6,13,16,0,6,10,4,1,0,3,"01"
"01005",157,11,52,95,90,4,30,56,67,7,22,39,96,5,30,60,55,2,17,35,41,3,13,25,59,6,20,33,34,2,12,20,25,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,1,0,0,0,0,"01"
"01007",132,18,44,70,77,8,27,42,55,10,17,27,105,13,33,60,61,6,19,36,45,7,14,24,24,4,11,10,15,2,7,6,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,1,1,1,0,0,1,"01"
"01009",325,35,101,190,172,13,56,103,154,22,45,87,309,29,97,182,164,11,54,99,145,18,43,84,5,1,2,4,2,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,2,3,1,0,2,3,2,1,0,4,0,3,1,1,0,1,0,3,0,2,1,"01"
"01011",59,8,17,34,31,3,9,19,28,5,7,16,16,1,4,11,8,0,2,6,8,1,2,5,40,6,12,21,21,3,7,11,18,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,0,1,2,0,0,0,0,"01"
"01013",123,15,40,68,63,4,22,37,60,10,19,31,75,10,21,44,40,3,13,24,35,6,9,20,45,5,17,22,21,1,8,12,24,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,"01"
"01015",704,84,218,402,367,30,118,219,337,55,99,183,569,66,167,336,301,23,91,187,269,43,77,149,114,15,42,57,55,5,23,27,59,10,19,30,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,1,0,3,1,1,1,7,3,1,3,4,2,1,1,3,1,0,2,10,3,5,2,9,3,4,2,1,0,1,0,"01"
"01017",218,23,74,120,121,8,41,72,97,15,33,49,144,14,45,86,82,5,25,52,63,8,21,34,69,8,27,34,38,2,16,20,31,6,11,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,3,0,1,2,1,0,0,1,"01"
"01019",157,16,49,91,89,5,28,56,68,11,22,35,147,15,45,87,84,4,26,53,63,10,20,33,6,2,3,1,4,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,3,1,0,2,1,1,0,0,"01"
