"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"01",27148,3163,8837,15148,14234,1167,4766,8301,12914,1995,4072,6847,20104,2150,6151,11803,10537,798,3265,6475,9567,1352,2887,5328,6066,805,2360,2902,3127,282,1306,1538,2940,523,1053,1364,45,5,16,24,25,2,10,13,20,3,6,11,186,44,61,81,75,12,25,38,111,32,36,43,267,96,82,89,136,43,42,51,131,53,40,38,480,63,167,249,334,30,118,186,145,32,50,63
"02",3124,449,1090,1585,1650,169,557,923,1474,281,532,661,2244,283,769,1192,1229,108,406,715,1016,176,362,478,83,12,36,35,50,6,21,23,32,7,13,12,542,94,200,247,258,36,94,129,283,58,107,118,153,36,52,64,60,10,19,31,93,25,34,33,87,21,27,38,42,8,14,21,44,13,14,17,15,3,6,9,11,1,3,4,6,2,2,3
"04",33768,3905,9197,20666,17186,1478,4520,11189,16582,2427,4677,9478,26007,2236,6596,17175,13535,866,3281,9388,12472,1370,3316,7787,1017,169,388,461,542,68,223,251,476,101,165,210,724,152,252,320,319,55,111,152,406,98,139,168,582,135,177,270,219,37,64,118,362,99,111,152,4924,1143,1623,2158,2257,421,741,1096,2667,722,882,1062,514,70,161,282,314,31,100,184,199,37,64,99
"05",17563,1925,5445,10193,9309,736,2887,5685,8254,1189,2558,4507,14572,1451,4291,8830,7757,559,2262,4936,6814,892,2028,3894,2223,281,894,1049,1176,104,495,577,1047,177,398,472,133,22,46,65,64,7,23,35,68,15,23,30,134,38,42,54,52,12,18,22,83,26,24,32,299,95,99,105,147,39,50,58,152,55,50,47,202,38,73,90,113,15,39,57,90,24,35,32
"06",174052,23789,52294,97969,86184,8772,25488,51924,87869,15017,26807,46045,99664,9280,27453,62931,51364,3637,13998,33730,48300,5643,13456,29201,10676,1290,3947,5439,5371,498,2099,2773,5305,792,1848,2665,949,140,339,470,447,51,162,235,501,89,177,235,21032,3655,6518,10859,9003,1043,2550,5409,12029,2613,3967,5449,37458,8831,12617,16011,17234,3293,5769,8172,20225,5537,6849,7839,4273,593,1420,2259,2765,250,910,1605,1509,343,510,656
"08",24801,3445,7627,13729,12340,1284,3732,7323,12462,2161,3895,6406,20019,2430,5980,11609,10028,906,2925,6197,9991,1523,3055,5413,831,141,316,374,447,64,180,203,384,77,136,171,147,29,55,63,68,10,26,32,79,20,28,31,479,119,155,205,186,31,60,95,293,87,96,110,2927,671,977,1279,1338,245,440,653,1589,426,537,626,398,55,144,199,273,28,101,143,126,28,43,55
"09",21269,2319,6577,12373,10619,833,3326,6460,10651,1486,3252,5913,17268,1513,5095,10659,8717,563,2580,5574,8550,950,2515,5085,1708,248,658,802,847,89,346,412,861,159,312,390,26,5,11,9,12,1,5,6,14,4,6,4,354,91,119,143,149,26,49,74,205,65,70,70,1713,422,613,678,778,138,298,342,935,284,315,336,200,40,81,82,116,16,48,52,86,24,34,28
"10",5963,610,1785,3567,3058,220,900,1938,2904,390,885,1629,4563,393,1273,2897,2355,140,637,1578,2208,253,636,1319,997,126,380,491,497,48,194,255,499,78,186,236,9,1,4,4,6,0,3,3,3,1,1,1,93,25,27,41,38,9,9,21,55,16,18,21,194,56,63,75,86,20,29,38,107,36,34,37,107,9,38,59,76,3,28,43,32,6,10,15
"11",2822,451,919,1452,1343,172,457,714,1478,280,461,738,857,183,213,461,432,70,116,246,425,113,97,215,1711,192,625,894,794,72,304,418,917,119,322,476,12,0,3,9,4,0,1,3,8,0,2,6,57,16,18,23,20,2,8,10,37,14,10,12,143,46,44,52,62,5,6,11,80,6,6,11,42,8,14,20,22,2,7,13,20,6,7,7
"12",135952,13725,37779,84448,69845,5064,18933,45848,66107,8662,18845,38600,97952,7420,25274,65258,51590,2860,12876,35854,46362,4560,12398,29404,13593,2078,5006,6508,6709,729,2574,3406,6884,1350,2431,3102,221,33,75,113,116,11,42,64,105,21,35,49,1773,360,574,838,729,109,214,406,1044,251,360,433,20915,3611,6429,10875,9919,1270,3011,5637,10997,2341,3418,5238,1498,223,421,856,782,85,216,481,715,139,203,374
